,1,0,time,comments_num
0,"大家好，感谢网易云音乐，感谢每一个朋友的留言（我默默的每一条都看了）原创这一路走来不容易，我的第一张EP《尘土》上线了，我没有多大的理想和抱负！其实我们每个人既渺小又伟大，爱别人，爱自己，每一天都活的精彩些！！！
",30172,2018年7月13日,23271
1,"这原创够到位，歌词 曲 唱 包括后期制作绝对一流没得挑，顶起👊🏻👊🏻👊🏻
",13308,2018年7月13日,23271
2,"圣经中说“来自尘土，应归于尘土”。这似乎逼近了生命的真相，那便是广阔自然、生生循环、和轮回的永恒。在更广泛的意义上，它似乎就象征着空间、时光与持续。
",10537,2018年7月13日,23271
3,"算你两个！哈
",6055,2018年7月13日,23271
4,"小众音乐，总是给我一种特别的感觉。过去受到的挫折都像尘土一般，就连过去的我们也如同尘土一样，我最理想的状态就是高傲不是自大的活下去，安安稳稳的度过我的大学，平平淡淡的过着自己最想要的生活
",5505,2018年7月15日,23271
5,"我像一粒尘土，总是在不知名的角落默默看着你的身影，你却看不到我，希望有天我能变成沙尘暴，让你看到我的存在
",3807,2018年7月15日,23271
6,我想啊，我们之间的差别大概就是,3690,2018年7月15日,23271
7,"想把你带入我多彩的世界，却惊醒你根本就不屑一顾这世界的每一粒尘土。
",3313,2018年7月13日,23271
8,"任凭疾风暴雨，再三凌辱，我依旧漫天飞舞
我偏不顺其自然，我就是不信命，活鱼会逆流而上，死鱼才会随波逐流。
我就要挣脱一切束缚，不达目的誓不罢休！
",2797,2018年7月15日,23271
9,"十八岁以后的日子像开了二倍速
",2185,9月3日 21:39,23271
10,"想娶石倩文，娶到了告诉大家
",1979,9月8日 13:48,23271
11,"尘归尘，土归土，生终将死，灵终将灭，万物终将消亡，在辉煌，不过一抔黄土,一捧青灰！人生百年，岂有永恒不灭者，夕阳末世，惊怖可闻，不过光阴一刹…*
",1796,2018年7月15日,23271
12,"“能做一辈子的朋友就别做几个月的情侣”
",1782,9月19日 06:58,23271
13,"我不适合谈恋爱，只适合无聊的时候聊聊天，别长期和我发展下去，因为你会发现我是个很糟糕的人，不是不给你信任，是我太没有安全感了，我怕你会离开怕你还有别人，哪怕是一件很小很小的事情我都会胡思乱想，所以啊别再给我温柔了，之前经历过的我不想再经历一次了。
",1451,8月18日 00:33,23271
14,"别再看网上发的那些毒鸡汤了 他们只是为了热度 毀掉的是你的三观 你才十几岁乐观开朗的面对生活 一切都会好起来的..
",1449,9月3日 19:16,23271
